gene,number,cluster
CACNA1I,8911,1
TIMELESS,8914,1
BSN,8927,1
RAB7L1,8934,1
WASF1,8936,1
CDK5R2,8941,1
BTRC,8945,1
HIST1H2BJ,8970,1
ATP6V0E1,8992,1
KALRN,8997,1
CDKL2,8999,1
TAF1A,9015,1
HIP1R,9026,1
UBE2M,9040,1
BTAF1,9044,1
SLC7A6,9057,1
USP6,9098,1
LATS1,9113,1
INA,9118,1
KCNQ4,9132,1
CBFA2T2,9139,1
SYNGR2,9144,1
NEURL,9148,1
DYRK1B,9149,1
SLC6A5,9152,1
EBAG9,9166,1
KCNAB3,9196,1
ZMYM3,9203,1
MAGI1,9223,1
PNMA1,9240,1
NOG,9241,1
GCM2,9247,1
CACNA2D2,9254,1
BZRAP1,9256,1
MAPKAPK2,9261,1
CYTH3,9265,1
ITGB1BP1,9270,1
PIWIL1,9271,1
BCL7C,9274,1
S1PR2,9294,1
TRIP12,9320,1
GTF3C4,9329,1
TGM5,9333,1
CPNE6,9362,1
RAB9A,9367,1
KIF3B,9371,1
NRXN1,9378,1
NRXN2,9379,1
OTOF,9381,1
STOML1,9399,1
Sep.15,9403,1
HAND1,9421,1
MED23,9439,1
MED26,9441,1
MED7,9443,1
QKI,9444,1
MAP4K4,9448,1
AKAP7,9465,1
PCYT1B,9468,1
ROCK2,9475,1
CABP1,9478,1
SLC4A8,9498,1
GAL3ST1,9514,1
STXBP5L,9515,1
SPTLC2,9517,1
GOSR1,9527,1
TMEM59,9528,1
ZNF254,9534,1
NRG2,9542,1
ATP6V1G1,9550,1
ATP5J2,9551,1
MRPL33,9553,1
GABBR2,9568,1
RBM39,9584,1
CREB5,9586,1
RNF14,9604,1
RIN1,9610,1
NCOR2,9612,1
TCL1B,9623,1
CLCA2,9635,1
CTR9,9646,1
TTLL4,9654,1
ZNF516,9658,1
DZIP3,9666,1
KIAA0406,9675,1
PHF14,9678,1
KDM4A,9682,1
LRRC14,9684,1
RAPGEF2,9693,1
TTC35,9694,1
CROCC,9696,1
TRAM2,9697,1
PUM1,9698,1
ESPL1,9700,1
KIAA0100,9703,1
KIAA0355,9710,1
USP6NL,9712,1
SEC14L5,9717,1
NOS1AP,9722,1
VPRBP,9730,1
SART3,9733,1
KNTC1,9735,1
USP34,9736,1
GPRASP1,9737,1
IFT140,9742,1
ZNF536,9745,1
CLSTN3,9746,1
PHACTR2,9749,1
MLL4,9757,1
HDAC4,9759,1
MLEC,9761,1
PHF16,9767,1
TM9SF4,9777,1
RNF144A,9781,1
RIMS3,9783,1
SPCS2,9789,1
SCRN1,9805,1
IP6K1,9807,1
GIT2,9815,1
URB2,9816,1
TSC22D2,9819,1
CUL7,9820,1
SPATA2,9825,1
ZBTB24,9841,1
KIAA0528,9847,1
ZNF518A,9849,1
KIAA0753,9851,1
FARP2,9855,1
LRIG2,9860,1
MED24,9862,1
KIAA0317,9870,1
ZC3H11A,9877,1
ZBTB39,9880,1
POM121,9883,1
RHOBTB1,9886,1
NUAK1,9891,1
TECPR2,9895,1
FIG4,9896,1
SV2A,9900,1
RBM19,9904,1
